Environment PRM PRM CfgOracle CfgOracle RegionStrategy RegionStrategy PathOracle PathOracle 
STunnel 269.02 94.271 2.1609 2.0707 1.3694 1.4015 0.0384 0.0077614 
ZTunnel 221.48 130.78 10.498 19.852 7.7363 11.325 0.0122 0.0017776 
MazeTunnel 17.13 9.7772 4.7966 4.6904 3.6919 3.0514 0.01 0 
Walls 644.61 81.08 14.026 14.889 0.3312 0.089138 0.0066 0.0016852 
Hook 855.33 835.55 1.3604 1.7628 0.39944 0.31836 0.012667 0.0008165 
