#Environment PRM PRM CfgOracle CfgOracle RegionStrategy RegionStrategy PathOracle PathOracle
STunnel 8846.3 1577.1 793.6 461.82 440.6 267.92 20.5 9.0802
ZTunnel 7253 2198.7 1462.5 1875.5 564.9 413.1 4 0
MazeTunnel 1812.1 855.15 836.9 574.68 670.4 416.86 4 0
Walls 10000 0 2217.4 2241.6 183.4 42.545 4 0
Hook 5867.7 4023.2 1484.5 2908.4 260.4 320.77 4 0
